Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
Leon Chiwome,eng ENG,FW,Wolves,eng Premier League,17,2006,1.9,0,2,0,0,1.03,0,0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,19,22,86.4,244,59,12,13,92.3,6,6,100,1,1,100,0,0,0,0,0,2,0,0,2,Matches,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1,Matches,1,0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2,1,0,1,1,1,2,50,1,3,1,2,0,2,2,0,Matches,39,3,5,25,10,4,39,0,0,,0,,16,86,50,1,0,1,3,2,18,7,Matches
Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,28,1995,24.9,6,56,14,25,2.25,0.56,0.11,0.43,17.5,0,0,0,5,5,0.09,1,1,Matches,1559,1754,88.9,25969,7112,754,819,92.1,681,739,92.2,99,136,72.8,7,5.3,4.7,1.7,32,176,27,2,176,Matches,1754,1708,43,30,9,10,10,10,0,0,0,0,1559,3,22,Matches,71,2.85,64,1,2,2,1,1,12,0.48,12,0,0,0,0,0,Matches,41,23,18,14,9,24,54,44.4,30,44,8,36,31,72,42,1,Matches,2016,78,453,1148,435,61,2016,24,13,54.2,8,33.3,1141,6277,3520,66,56,1,14,14,1511,71,Matches
Leon Opitz,de GER,"FW,DF",Werder Bremen,de Bundesliga,18,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6,13,46.2,101,38,4,5,80,1,5,20,1,2,50,0,0,0,0,0,0,0,0,0,Matches,13,9,4,0,0,1,2,4,0,0,0,0,6,0,1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,Matches,17,0,7,6,4,1,17,2,1,50,1,50,10,51,28,1,1,1,2,0,9,2,Matches
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24,1999,25.2,2,14,4,28.6,0.55,0.16,0.14,0.5,17.4,0,0,0,0.9,0.9,0.06,1.1,1.1,Matches,1402,1628,86.1,26569,9543,520,562,92.5,678,753,90,169,260,65,0,0.2,0.5,-0.2,5,115,3,0,122,Matches,1628,1560,64,51,0,14,2,4,1,0,0,0,1402,4,12,Matches,27,1.07,24,1,1,0,1,0,3,0.12,2,0,0,0,1,0,Matches,79,50,55,23,1,49,67,73.1,18,38,15,23,51,130,91,0,Matches,1936,188,845,1036,73,18,1936,18,9,50,6,33.3,1412,7846,4056,19,23,0,17,10,1271,6,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,29,1993,17.5,1,31,5,16.1,1.77,0.29,0.03,0.2,21,1,0,0,2.2,2.2,0.07,-1.2,-1.2,Matches,665,829,80.2,10812,2713,323,367,88,263,314,83.8,55,98,56.1,2,2.9,2.7,-0.9,26,64,20,7,85,Matches,829,802,22,10,7,3,40,7,5,2,2,0,665,5,16,Matches,46,2.63,43,0,0,2,1,0,3,0.17,2,0,0,0,1,0,Matches,42,18,20,17,5,15,39,38.5,24,18,1,17,13,55,6,0,Matches,1024,19,197,547,296,32,1024,44,17,38.6,25,56.8,652,4019,1950,61,51,5,37,11,736,74,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36,1987,5.1,1,0,0,,0,0,,,,0,1,1,0.8,0,,0.2,0,Matches,190,248,76.6,4063,1911,51,58,87.9,105,118,89,31,67,46.3,0,0.3,0.1,-0.3,2,17,2,1,21,Matches,248,236,11,7,0,1,6,4,0,0,0,0,190,1,0,Matches,4,0.78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6,5,2,4,0,4,4,100,0,5,3,2,7,13,16,0,Matches,292,20,122,157,15,1,291,2,1,50,1,50,161,582,287,0,0,0,2,0,176,1,Matches
Leonardo Cerri,it ITA,DF,Juventus,it Serie A,20,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0,2,0,0,0,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2,0,0,0,2,0,2,0,0,,0,,1,6,0,0,0,0,0,0,2,2,Matches
Leonardo Mendicino,it ITA,MF,Atalanta,it Serie A,17,2006,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Leonardo Pavoletti,it ITA,FW,Cagliari,it Serie A,34,1988,7,4,25,9,36,3.58,1.29,0.16,0.44,11.3,0,0,0,2.6,2.6,0.1,1.4,1.4,Matches,87,157,55.4,1272,351,53,81,65.4,27,50,54,4,9,44.4,1,0.3,0.3,0.7,7,12,4,0,16,Matches,157,152,3,1,1,0,1,1,0,0,0,0,87,2,3,Matches,14,2.01,12,0,0,0,2,0,1,0.14,1,0,0,0,0,0,Matches,1,1,0,0,1,0,1,0,1,2,1,1,0,1,7,0,Matches,232,8,16,105,111,42,232,0,0,,0,,103,182,59,1,0,1,25,5,186,40,Matches
Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30,1993,14.6,1,8,3,37.5,0.55,0.21,0.13,0.33,23.6,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,663,849,78.1,11631,3209,300,333,90.1,299,373,80.2,56,102,54.9,2,3,3.1,-1,27,32,48,21,52,Matches,849,731,112,8,3,7,84,104,0,0,0,0,663,6,17,Matches,44,3.02,39,1,3,1,0,0,4,0.27,3,0,1,0,0,0,Matches,15,7,10,5,0,8,18,44.4,10,8,2,6,3,18,15,0,Matches,951,30,234,407,319,37,951,43,20,46.5,19,44.2,604,5548,3161,108,61,22,16,4,652,74,Matches
Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,21,2002,6.6,1,3,1,33.3,0.45,0.15,0.33,1,23.3,0,0,0,0.4,0.4,0.12,0.6,0.6,Matches,308,364,84.6,4390,1434,185,203,91.1,107,123,87,9,21,42.9,0,0.4,0.9,-0.4,5,18,7,5,17,Matches,364,319,43,3,0,2,12,40,0,0,0,0,308,2,4,Matches,7,1.06,7,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,15,8,7,7,1,9,13,69.2,4,8,1,7,5,20,13,0,Matches,420,20,132,205,83,3,420,2,1,50,1,50,186,808,335,6,5,0,6,2,272,22,Matches
Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,27,1996,23.7,8,73,28,38.4,3.07,1.18,0.11,0.29,17.6,6,0,0,10.9,10.9,0.15,-2.9,-2.9,Matches,878,1098,80,12860,3036,538,612,87.9,254,311,81.7,57,98,58.2,11,10.8,9.5,0.2,72,43,47,2,113,Matches,1098,987,106,14,8,6,86,11,63,29,26,0,878,5,31,Matches,143,6.02,98,22,10,7,5,1,18,0.76,12,3,1,1,0,1,Matches,15,8,6,6,3,4,19,21.1,15,12,0,12,7,22,3,0,Matches,1398,6,99,448,880,143,1398,167,93,55.7,65,38.9,936,7599,4060,121,85,44,63,42,1085,274,Matches
Lesley Ugochukwu,fr FRA,MF,Chelsea,eng Premier League,19,2004,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,155,183,84.7,2510,683,79,90,87.8,63,73,86.3,10,11,90.9,0,0.1,0.1,-0.1,3,11,5,0,17,Matches,183,183,0,0,0,1,0,0,0,0,0,0,155,0,2,Matches,5,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,14,10,4,8,2,4,10,40,6,6,2,4,1,15,5,0,Matches,214,14,66,120,31,2,214,6,3,50,1,16.7,128,620,358,8,2,2,3,3,162,3,Matches
Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20,2003,20,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,965,1163,83,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73,Matches,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17,Matches,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,Matches,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,Matches,1392,108,570,669,164,26,1392,13,9,69.2,4,30.8,766,3602,1985,23,17,2,22,4,873,27,Matches
Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26,1997,31,0,12,4,33.3,0.39,0.13,0,0,24,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,1135,1487,76.3,20294,6864,458,539,85,539,616,87.5,112,257,43.6,3,4.3,3,-1.3,46,138,20,4,142,Matches,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25,Matches,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,Matches,61,41,24,30,7,34,63,54,29,32,11,21,65,126,46,1,Matches,1773,92,418,1003,382,9,1773,36,21,58.3,14,38.9,786,3970,1971,22,24,0,35,19,865,15,Matches
Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,20,2003,2.6,1,5,2,40,1.94,0.78,0.2,0.5,15.6,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches,44,65,67.7,537,95,32,36,88.9,9,17,52.9,2,5,40,0,0.5,0.1,-0.5,4,0,3,1,3,Matches,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3,Matches,6,2.33,3,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,9,7,3,5,1,5,9,55.6,4,5,1,4,1,10,0,0,Matches,127,0,24,42,65,11,127,21,6,28.6,15,71.4,89,622,211,6,11,4,12,6,80,20,Matches
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,13.4,4,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches,2977,3233,92.1,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,1,0.9,2.2,0.1,13,204,8,1,152,Matches,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5,Matches,48,1.51,39,3,0,6,0,0,7,0.22,6,0,0,1,0,0,Matches,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1,Matches,3481,554,1811,1542,145,51,3481,8,5,62.5,2,25,2417,10752,5605,33,18,2,9,2,2681,13,Matches
Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,30.1,6,60,20,33.3,1.99,0.66,0.1,0.3,16,0,0,0,5.4,5.4,0.09,0.6,0.6,Matches,1571,1778,88.4,22609,4517,931,1007,92.5,518,565,91.7,61,85,71.8,3,2.3,2.7,0.7,32,145,25,3,142,Matches,1778,1740,34,16,7,9,11,17,1,0,0,0,1571,4,37,Matches,83,2.75,67,2,2,5,6,1,9,0.3,6,0,1,0,2,0,Matches,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27,1,Matches,2043,54,317,1178,561,82,2043,34,14,41.2,15,44.1,1213,5803,2570,57,45,13,22,22,1646,138,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,18,2004,8.7,1,11,4,36.4,1.27,0.46,0.09,0.25,20.8,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches,452,552,81.9,7570,3083,229,248,92.3,186,220,84.5,33,61,54.1,0,0.3,0.7,-0.3,3,41,3,1,46,Matches,552,474,76,11,0,2,23,59,6,6,0,0,452,2,12,Matches,20,2.3,14,1,3,1,1,0,3,0.35,3,0,0,0,0,0,Matches,28,18,17,10,1,17,28,60.7,11,17,2,15,12,40,22,1,Matches,668,35,255,285,137,12,668,18,9,50,7,38.9,343,1783,1035,19,16,5,9,13,400,27,Matches
Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,17,2006,13.4,1,13,3,23.1,0.97,0.22,0.08,0.33,15.4,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches,441,535,82.4,6580,1615,255,296,86.1,143,165,86.7,24,40,60,3,1.7,1.4,1.3,12,26,12,2,53,Matches,535,535,0,0,4,2,11,0,0,0,0,0,441,0,13,Matches,31,2.32,24,0,2,3,0,2,5,0.37,4,0,0,0,0,1,Matches,33,21,6,20,7,15,32,46.9,17,20,3,17,8,41,18,2,Matches,674,36,164,305,212,35,674,17,8,47.1,8,47.1,350,1664,654,14,7,6,16,10,435,54,Matches
Lewis Warrington,eng ENG,FW,Everton,eng Premier League,20,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2,2,100,53,0,0,0,,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,Matches,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3,0,1,2,0,0,3,0,0,,0,,1,5,5,0,0,0,0,0,1,0,Matches
Liam Henderson,sct SCO,MF,Empoli,it Serie A,27,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2,5,40,40,0,1,2,50,1,1,100,0,2,0,0,0,0,0,0,0,0,0,0,Matches,5,3,2,1,0,0,1,0,1,1,0,0,2,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5,0,0,4,1,0,5,0,0,,0,,3,24,1,0,0,0,0,0,3,0,Matches
Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22,2000,21.2,0,13,2,15.4,0.61,0.09,0,0,24.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,832,1110,75,14084,5589,427,475,89.9,321,403,79.7,75,186,40.3,1,1.7,1.4,-0.7,21,67,13,5,84,Matches,1110,848,256,27,2,3,68,205,24,2,18,0,832,6,26,Matches,42,1.97,26,12,2,2,0,0,2,0.09,2,0,0,0,0,0,Matches,40,24,24,13,3,24,38,63.2,14,23,6,17,19,59,56,0,Matches,1341,74,442,614,306,17,1341,53,23,43.4,26,49.1,690,3935,2109,34,29,4,23,20,703,55,Matches
Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23,1999,29.7,3,12,3,25,0.4,0.1,0.25,1,16.3,0,0,0,1.1,1.1,0.09,1.9,1.9,Matches,1503,1810,83,33730,12106,362,400,90.5,835,915,91.3,289,464,62.3,0,0.6,0.9,-0.6,6,114,8,3,121,Matches,1810,1755,54,53,2,20,5,1,0,0,0,0,1503,1,10,Matches,18,0.61,14,0,1,0,1,2,2,0.07,1,0,0,0,1,0,Matches,31,18,18,13,0,12,24,50,12,28,21,7,41,72,93,0,Matches,2062,254,1054,966,56,21,2062,16,12,75,4,25,1582,10262,5302,20,12,2,15,2,1431,5,Matches
Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,20,2002,1.2,0,3,0,0,2.55,0,0,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,32,41,78,481,131,16,17,94.1,11,15,73.3,2,4,50,0,0,0,0,0,2,0,0,2,Matches,41,40,1,0,0,0,0,0,0,0,0,0,32,0,1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4,1,3,1,0,2,4,50,2,3,1,2,1,5,0,0,Matches,56,2,20,22,14,1,56,2,0,0,1,50,27,182,69,2,3,0,0,1,32,2,Matches
Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,1999,21.1,1,33,11,33.3,1.56,0.52,0.03,0.09,19.8,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches,484,661,73.2,6983,1773,295,343,86,161,209,77,21,46,45.7,3,3.1,3.3,-0.1,20,28,16,5,61,Matches,661,613,47,3,0,1,74,40,3,1,1,0,484,1,43,Matches,58,2.75,44,1,3,3,6,1,5,0.24,4,0,0,0,1,0,Matches,18,15,11,5,2,9,28,32.1,19,12,1,11,6,24,12,0,Matches,846,14,110,334,429,82,846,57,22,38.6,31,54.4,599,5140,2671,109,64,47,38,27,607,169,Matches
Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25,1998,7.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,411,446,92.2,6870,2103,186,192,96.9,192,202,95,26,41,63.4,1,0.1,0.1,0.9,3,29,1,0,28,Matches,446,414,30,10,1,1,2,0,0,0,0,0,411,2,1,Matches,7,0.98,6,0,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches,12,8,8,4,0,5,12,41.7,7,10,8,2,5,17,26,0,Matches,510,75,234,259,18,2,510,4,2,50,1,25,338,1775,1062,8,3,0,1,3,351,1,Matches
Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24,1998,17.3,0,4,1,25,0.23,0.06,0,0,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,673,906,74.3,13526,4407,234,277,84.5,341,400,85.3,90,191,47.1,1,1.2,0.8,-0.2,9,76,7,4,56,Matches,906,771,129,22,1,10,21,107,0,0,0,0,673,6,19,Matches,29,1.67,24,2,1,0,1,1,3,0.17,3,0,0,0,0,0,Matches,24,19,10,9,5,14,25,56,11,22,12,10,13,37,67,0,Matches,1065,127,432,484,156,11,1065,4,2,50,0,0,540,2680,1451,15,10,2,20,6,572,28,Matches
Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22,2001,29.4,1,14,4,28.6,0.48,0.14,0.07,0.25,14.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches,1491,1784,83.6,29121,12198,511,559,91.4,768,868,88.5,181,302,59.9,1,0.6,0.7,0.4,6,129,6,2,145,Matches,1784,1676,106,52,0,14,12,19,0,0,0,0,1491,2,14,Matches,21,0.71,21,0,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches,40,24,31,9,0,15,24,62.5,9,42,27,15,23,63,120,1,Matches,2059,298,932,1001,138,30,2059,10,6,60,4,40,1455,7829,3931,19,30,2,18,3,1360,14,Matches
Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,Matches,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19,Matches,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0,Matches,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1,Matches,670,46,210,270,207,30,670,32,13,40.6,17,53.1,283,1862,1063,38,16,12,27,13,303,57,Matches
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,11.2,1,11,4,36.4,0.98,0.36,0.09,0.25,22.9,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches,516,600,86,8700,2414,220,236,93.2,247,284,87,34,47,72.3,1,1.8,1.3,-0.8,20,32,12,5,51,Matches,600,491,109,13,0,1,22,96,0,0,0,0,516,0,12,Matches,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0,Matches,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1,Matches,712,26,158,323,237,21,712,23,10,43.5,13,56.5,489,2754,1380,28,19,7,13,5,431,67,Matches
Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,0,1,0,0,4.09,0,0,,29.5,0,0,0,0,0,0.01,0,0,Matches,22,25,88,449,101,6,7,85.7,14,14,100,2,2,100,0,0,0.1,0,0,3,0,0,2,Matches,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,26,0,1,15,10,1,26,0,0,,0,,13,52,17,1,0,0,0,0,17,1,Matches
Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21,2002,15.1,4,37,10,27,2.45,0.66,0.11,0.4,17.2,0,0,0,3.6,3.6,0.1,0.4,0.4,Matches,185,263,70.3,2711,593,104,139,74.8,48,66,72.7,16,22,72.7,1,0.6,0.5,0.4,8,10,3,0,24,Matches,263,252,11,1,0,4,2,2,0,0,0,0,185,0,7,Matches,28,1.85,19,0,4,3,2,0,6,0.4,4,0,2,0,0,0,Matches,17,12,3,9,5,8,14,57.1,6,18,5,13,0,17,14,0,Matches,451,18,32,239,186,65,451,23,12,52.2,11,47.8,287,1275,464,16,9,13,64,29,348,75,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,35,1988,7.5,2,4,2,50,0.53,0.27,0.5,1,17.8,0,0,0,0.2,0.2,0.05,1.8,1.8,Matches,373,432,86.3,5791,1916,181,195,92.8,168,189,88.9,14,29,48.3,0,0,0.1,0,0,20,1,1,27,Matches,432,365,66,16,0,1,9,50,0,0,0,0,373,1,7,Matches,4,0.53,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,10,8,5,2,3,4,7,57.1,3,9,4,5,6,16,27,0,Matches,499,32,202,226,75,2,499,0,0,,0,,256,1526,732,14,4,0,4,1,320,12,Matches
Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,28.8,8,61,25,41,2.12,0.87,0.13,0.32,12.9,1,0,0,7.8,7.8,0.13,0.2,0.2,Matches,271,454,59.7,3830,448,139,220,63.2,93,149,62.4,15,21,71.4,4,1.6,0.6,2.4,20,14,5,0,18,Matches,454,432,18,0,0,3,8,2,0,0,0,0,271,4,15,Matches,46,1.6,29,0,1,9,6,1,4,0.14,3,0,0,1,0,0,Matches,19,11,4,11,4,5,20,25,15,18,3,15,3,22,36,1,Matches,772,41,91,377,313,93,772,33,12,36.4,20,60.6,436,1829,459,10,16,5,85,48,598,118,Matches
Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,27,1996,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,783,1272,61.6,28541,23677,96,97,99,285,297,96,401,870,46.1,1,0,0.2,1,1,49,1,0,0,Matches,1272,833,432,127,0,2,0,0,0,0,0,0,783,7,0,Matches,8,0.22,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,25,2,Matches,1385,1055,1375,9,1,1,1385,0,0,,0,,689,3602,1933,0,0,0,2,0,599,0,Matches
Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,27,1996,20.7,8,46,19,41.3,2.23,0.92,0.15,0.37,19.8,5,1,1,4.8,4,0.09,3.2,3,Matches,665,850,78.2,10532,2994,347,388,89.4,247,293,84.3,47,108,43.5,3,2.4,3.2,0.6,36,66,22,5,94,Matches,850,779,70,27,9,3,76,2,40,19,17,0,665,1,16,Matches,69,3.34,40,17,3,4,4,1,9,0.44,4,1,1,1,2,0,Matches,35,20,14,16,5,17,51,33.3,34,28,5,23,20,55,22,0,Matches,1090,23,161,581,364,49,1089,38,19,50,16,42.1,645,4091,1797,43,36,5,42,20,772,97,Matches
Lorenzo Pirola,it ITA,DF,Salernitana,it Serie A,21,2002,22.1,1,15,4,26.7,0.68,0.18,0.07,0.25,13.8,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches,868,1040,83.5,14823,5563,381,417,91.4,416,470,88.5,52,113,46,0,0,0.1,0,1,33,1,0,57,Matches,1040,980,59,36,0,3,2,10,0,0,0,0,868,1,12,Matches,9,0.41,5,0,0,1,1,2,0,0,0,0,0,0,0,0,Matches,39,23,25,14,0,15,28,53.6,13,46,30,16,25,64,93,1,Matches,1280,198,664,567,53,21,1280,6,0,0,4,66.7,644,2936,1499,13,7,0,5,5,786,7,Matches
Lorenzo Venuti,it ITA,DF,Lecce,it Serie A,28,1995,4,0,3,1,33.3,0.74,0.25,0,0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,174,219,79.5,3279,1045,72,78,92.3,77,91,84.6,24,43,55.8,0,0.3,0.3,-0.3,4,17,2,2,16,Matches,219,176,43,5,0,1,10,38,0,0,0,0,174,0,6,Matches,8,1.98,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,6,4,5,1,0,6,10,60,4,4,3,1,5,11,14,0,Matches,247,18,80,132,38,2,247,3,2,66.7,0,0,123,630,344,7,6,1,1,0,144,15,Matches
Loris Karius,de GER,GK,Newcastle Utd,eng Premier League,30,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,21,37,56.8,507,279,4,4,100,14,14,100,3,18,16.7,0,0,0,0,0,0,0,0,0,Matches,37,24,12,3,0,0,0,0,0,0,0,0,21,1,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,41,34,41,0,0,0,41,0,0,,0,,17,57,25,0,0,0,0,0,15,0,Matches
Loris Mouyokolo,fr FRA,DF,Lorient,fr Ligue 1,22,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,48,55,87.3,781,285,19,20,95,27,30,90,0,2,0,0,0,0,0,0,0,0,0,0,Matches,55,54,1,1,0,0,0,0,0,0,0,0,48,0,1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4,1,4,0,0,1,1,100,0,1,0,1,0,4,3,0,Matches,66,10,51,14,1,0,66,0,0,,0,,50,217,110,1,0,0,0,0,48,0,Matches
Loum Tchaouna,fr FRA,"FW,MF",Salernitana,it Serie A,19,2003,23.3,4,44,15,34.1,1.89,0.64,0.09,0.27,20.3,0,0,0,2.6,2.6,0.06,1.4,1.4,Matches,505,766,65.9,7384,2039,298,375,79.5,151,224,67.4,34,75,45.3,3,1.5,1.3,1.5,22,41,22,7,59,Matches,766,717,43,3,1,12,70,10,8,4,1,0,505,6,35,Matches,56,2.4,42,1,5,6,2,0,7,0.3,4,0,2,1,0,0,Matches,20,10,5,13,2,10,20,50,10,20,1,19,4,24,16,1,Matches,1026,12,120,474,448,72,1026,55,16,29.1,31,56.4,619,3635,1648,72,48,26,63,27,760,151,Matches
