,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
5068,Cristhian Mosquera,Defender,Centre-Back,es ESP,DF,Valencia,es La Liga,19,2004,34.2,0,9,2,22.2,0.26,0.06,0,0,14.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,1454,1646,88.3,27551,8196,500,543,92.1,808,859,94.1,134,211,63.5,0,0,0.2,0,1,45,0,0,77,Matches,1646,1561,82,54,0,6,1,18,0,0,0,0,1454,3,13,Matches,16,0.47,15,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,57,34,36,18,3,25,39,64.1,14,42,23,19,36,93,137,2,Matches,1980,274,1105,841,46,15,1980,7,6,85.7,1,14.3,1111,5497,2731,14,6,3,15,4,1240,4,Matches
5069,Cristhian Stuani,Attack,Centre-Forward,uy URU,FW,Girona,es La Liga,36,1986,8.9,9,34,17,50,3.81,1.9,0.26,0.53,9,0,0,0,9.6,9.6,0.3,-0.6,-0.6,Matches,84,115,73,1007,130,53,68,77.9,21,28,75,2,5,40,3,1.9,0.5,1.1,10,0,1,0,5,Matches,115,101,14,1,1,0,1,0,0,0,0,0,84,0,2,Matches,16,1.79,11,0,1,3,0,1,3,0.34,2,0,0,1,0,0,Matches,14,11,4,6,4,4,7,57.1,3,9,2,7,5,19,13,0,Matches,218,16,34,90,94,47,218,5,1,20,4,80,101,386,119,3,1,3,17,3,137,24,Matches
5095,Cristian Gamboa,Defender,Right-Back,cr CRC,DF,Bochum,de Bundesliga,33,1989,13.2,0,6,1,16.7,0.45,0.08,0,0,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches,350,475,73.7,6353,2438,155,175,88.6,146,187,78.1,43,97,44.3,1,0.5,0.9,0.5,10,28,12,6,33,Matches,475,383,91,3,0,3,23,88,0,0,0,0,350,1,6,Matches,20,1.52,15,3,0,2,0,0,2,0.15,1,1,0,0,0,0,Matches,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34,1,Matches,603,38,189,305,117,1,603,12,5,41.7,4,33.3,276,1235,527,12,11,0,11,3,282,16,Matches
5101,Cristian Herrera,Attack,Centre-Forward,es ESP,"FW,MF",Las Palmas,es La Liga,32,1991,1.8,1,1,1,100,0.54,0.54,1,1,3.8,0,0,0,0.9,0.9,0.87,0.1,0.1,Matches,92,101,91.1,1092,323,66,69,95.7,23,25,92,1,1,100,0,0,0.1,0,1,6,0,0,8,Matches,101,98,3,1,0,0,1,1,0,0,0,0,92,0,2,Matches,5,2.73,5,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches,1,1,0,1,0,1,2,50,1,1,0,1,0,1,2,0,Matches,117,2,16,59,42,4,117,2,1,50,1,50,77,300,138,2,3,0,8,2,93,16,Matches
5120,Cristian Romero,Defender,Centre-Back,ar ARG,DF,Tottenham,eng Premier League,25,1998,31,5,24,9,37.5,0.77,0.29,0.21,0.56,10.5,0,0,0,3.5,3.5,0.14,1.5,1.5,Matches,2390,2606,91.7,41458,16198,966,1035,93.3,1279,1341,95.4,111,158,70.3,0,0.4,1.5,-0.4,7,189,14,0,179,Matches,2606,2456,147,123,6,4,3,14,0,0,0,0,2390,3,24,Matches,35,1.13,28,2,0,3,0,2,2,0.06,1,0,0,1,0,0,Matches,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1,Matches,2923,357,1254,1494,198,33,2923,8,5,62.5,1,12.5,1957,9359,6026,32,42,0,12,4,2071,8,Matches
5128,Cristian Volpato,Attack,Attacking Midfield,it ITA,"MF,FW",Sassuolo,it Serie A,19,2003,7.2,1,12,6,50,1.67,0.84,0.08,0.17,23.2,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches,195,301,64.8,3460,1260,86,110,78.2,78,114,68.4,21,51,41.2,0,1.4,1.4,-1.4,16,16,16,4,53,Matches,301,278,23,1,0,5,47,3,19,11,6,0,195,0,8,Matches,35,4.9,21,6,6,2,0,0,2,0.28,2,0,0,0,0,0,Matches,16,8,9,6,1,9,25,36,16,7,0,7,1,17,5,0,Matches,404,8,57,145,207,23,404,49,25,51,21,42.9,248,1798,927,34,24,13,20,12,276,49,Matches
5131,Cristiano Biraghi,Defender,Left-Back,it ITA,DF,Fiorentina,it Serie A,30,1992,26.2,2,16,5,31.3,0.61,0.19,0.13,0.4,28.1,7,0,1,1.6,0.8,0.05,0.4,1.2,Matches,1388,1842,75.4,25646,9082,573,624,91.8,639,813,78.6,156,340,45.9,5,3.6,4.3,1.4,46,118,31,20,129,Matches,1842,1329,510,103,0,14,226,298,109,28,53,0,1388,3,33,Matches,77,2.94,37,35,3,0,1,1,11,0.42,3,6,2,0,0,0,Matches,47,28,20,24,3,28,52,53.8,24,30,5,25,14,61,43,0,Matches,2027,62,461,893,688,14,2026,14,4,28.6,9,64.3,958,4317,2283,55,55,3,15,6,1132,109,Matches
5158,Curtis Jones,Midfield,Central Midfield,eng ENG,MF,Liverpool,eng Premier League,22,2001,13,1,19,5,26.3,1.47,0.39,0.05,0.2,16.2,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Matches,707,776,91.1,10366,2136,405,428,94.6,257,278,92.4,22,30,73.3,1,0.7,1.1,0.3,11,64,14,1,74,Matches,776,749,25,4,4,2,4,20,1,0,0,0,707,2,5,Matches,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0,Matches,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0,Matches,915,24,127,509,287,38,915,29,15,51.7,10,34.5,624,3297,1425,31,25,7,15,33,709,88,Matches
5164,Cyle Larin,Attack,Centre-Forward,ca CAN,FW,Mallorca,es La Liga,28,1995,20.3,3,69,25,36.2,3.41,1.23,0.04,0.12,12.7,0,0,0,9,9,0.13,-6,-6,Matches,184,294,62.6,2419,410,107,149,71.8,51,79,64.6,10,16,62.5,2,1.4,0.5,0.6,11,8,1,0,13,Matches,294,278,13,0,1,1,7,1,0,0,0,0,184,3,14,Matches,26,1.29,16,0,2,5,3,0,4,0.2,1,0,0,1,2,0,Matches,17,8,6,4,7,2,7,28.6,5,16,5,11,3,20,17,0,Matches,548,26,51,209,297,111,548,39,14,35.9,23,59,310,1608,571,20,13,17,58,34,406,103,Matches
5171,Cyril Ngonge,Attack,Right Winger,be BEL,FW,Napoli,it Serie A,23,2000,3.5,1,17,5,29.4,4.86,1.43,0.06,0.2,17.7,2,0,0,1,1,0.06,0,0,Matches,107,144,74.3,1788,439,58,65,89.2,37,50,74,11,23,47.8,0,0.8,0.5,-0.8,9,8,5,2,11,Matches,144,131,13,2,1,1,20,2,9,4,5,0,107,0,4,Matches,26,7.45,10,3,5,4,4,0,0,0,0,0,0,0,0,0,Matches,5,3,1,4,0,2,2,100,0,2,0,2,0,5,2,0,Matches,198,4,14,74,113,16,198,16,8,50,7,43.8,129,931,482,18,9,6,11,3,161,43,Matches
5172,Cyril Ngonge,Attack,Right Winger,be BEL,"FW,MF",Hellas Verona,it Serie A,23,2000,15.9,6,42,14,33.3,2.64,0.88,0.14,0.43,18.2,4,0,0,4.2,3.4,0.08,1.8,2.6,Matches,234,361,64.8,4279,1264,104,147,70.7,91,120,75.8,32,61,52.5,2,1.7,1.6,0.3,21,25,13,8,44,Matches,361,324,35,10,4,5,51,2,10,2,7,0,234,2,12,Matches,60,3.78,30,9,9,6,6,0,4,0.25,3,0,0,1,0,0,Matches,14,9,5,3,6,5,14,35.7,9,7,1,6,4,18,10,0,Matches,567,14,49,226,306,56,567,66,29,43.9,33,50,350,2467,1197,53,29,19,53,19,405,117,Matches
5200,Daichi Kamada,Attack,Attacking Midfield,jp JPN,MF,Lazio,it Serie A,26,1996,17.2,2,29,8,27.6,1.69,0.47,0.07,0.25,20.7,0,0,0,1.8,1.8,0.06,0.2,0.2,Matches,810,921,87.9,13045,2683,422,461,91.5,320,346,92.5,51,71,71.8,2,2.8,2.1,-0.8,24,70,13,1,96,Matches,921,907,12,6,4,5,11,4,0,0,0,0,810,2,21,Matches,47,2.74,34,0,5,3,3,2,2,0.12,1,0,0,1,0,0,Matches,53,36,22,22,9,28,52,53.8,24,24,5,19,18,71,7,0,Matches,1109,19,171,629,316,57,1109,23,14,60.9,7,30.4,627,3349,1676,40,30,18,25,15,847,78,Matches
5216,Daler Kuzyaev,Midfield,Central Midfield,ru RUS,MF,Le Havre,fr Ligue 1,30,1993,23.2,2,16,5,31.3,0.69,0.22,0.13,0.4,17.7,0,0,0,1.8,1.8,0.12,0.2,0.2,Matches,824,1050,78.5,12347,3407,422,511,82.6,305,360,84.7,42,77,54.5,2,1.3,1.3,0.7,29,87,21,1,119,Matches,1050,1010,36,19,4,0,27,1,15,2,7,0,824,4,27,Matches,72,3.1,57,6,0,3,6,0,4,0.17,4,0,0,0,0,0,Matches,34,19,11,13,10,15,43,34.9,28,18,5,13,22,56,18,1,Matches,1246,43,252,602,398,51,1246,23,12,52.2,8,34.8,925,4289,1656,23,32,6,31,15,853,97,Matches
5217,Daley Blind,Defender,Left-Back,nl NED,DF,Girona,es La Liga,33,1990,33,1,17,6,35.3,0.51,0.18,0.06,0.17,16.6,1,0,0,1.7,1.7,0.1,-0.7,-0.7,Matches,2304,2585,89.1,39507,15810,1059,1112,95.2,1083,1158,93.5,137,236,58.1,2,1.1,1.9,0.9,17,256,26,3,209,Matches,2585,2465,97,69,0,18,17,21,2,0,1,0,2304,23,27,Matches,48,1.45,41,2,3,1,0,1,5,0.15,4,0,0,0,0,1,Matches,47,21,33,13,1,29,47,61.7,18,37,19,18,21,68,113,0,Matches,2869,229,1192,1426,271,27,2869,26,17,65.4,9,34.6,1871,8942,4795,48,30,3,18,3,2186,22,Matches
5266,Dan Burn,Defender,Centre-Back,eng ENG,DF,Newcastle Utd,eng Premier League,31,1992,30.3,2,23,5,21.7,0.76,0.17,0.09,0.4,8.1,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches,1351,1667,81,22402,8237,606,702,86.3,676,788,85.8,54,111,48.6,2,1.1,1.1,0.9,10,67,7,3,75,Matches,1667,1471,190,38,1,4,11,150,0,0,0,0,1351,6,25,Matches,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0,Matches,61,33,37,20,4,26,61,42.6,35,55,25,30,37,98,124,1,Matches,2007,204,948,851,212,46,2007,6,4,66.7,2,33.3,924,3930,1664,14,7,3,15,10,1150,25,Matches
5274,Dan Ndoye,Attack,Right Winger,ch SUI,"FW,MF",Bologna,it Serie A,22,2000,19.7,1,41,16,39,2.08,0.81,0.02,0.06,16.7,0,0,0,4.9,4.9,0.13,-3.9,-3.9,Matches,467,602,77.6,6997,1298,268,307,87.3,138,172,80.2,34,57,59.6,1,1.8,1.2,-0.8,22,25,13,5,36,Matches,602,577,21,1,0,5,47,5,15,11,2,0,467,4,27,Matches,62,3.15,39,1,9,6,6,1,3,0.15,2,0,0,1,0,0,Matches,30,15,17,11,2,17,39,43.6,22,20,1,19,10,40,14,0,Matches,872,19,127,346,423,74,872,93,34,36.6,43,46.2,593,4896,2713,88,56,30,57,26,646,173,Matches
5284,Dango Ouattara,Attack,Right Winger,bf BFA,"FW,DF",Bournemouth,eng Premier League,21,2002,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,15.2,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches,371,558,66.5,5941,1943,190,255,74.5,147,201,73.1,25,57,43.9,2,1.5,1.4,0.5,17,25,11,5,35,Matches,558,473,84,8,2,1,36,73,3,0,0,0,371,1,23,Matches,45,3.3,34,1,4,2,1,3,3,0.22,3,0,0,0,0,0,Matches,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0,Matches,783,37,210,273,317,69,783,47,21,44.7,20,42.6,365,2597,1409,47,24,18,23,12,405,90,Matches
5293,Dani Ceballos,Midfield,Central Midfield,es ESP,"MF,FW",Real Madrid,es La Liga,26,1996,6.6,0,7,1,14.3,1.05,0.15,0,0,18.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,486,542,89.7,7205,1731,301,317,95,136,153,88.9,34,45,75.6,2,1.5,1,0.5,11,48,6,0,47,Matches,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Matches,25,3.77,22,0,1,0,2,0,2,0.3,2,0,0,0,0,0,Matches,10,5,4,5,1,5,14,35.7,9,9,2,7,0,10,4,1,Matches,609,9,99,315,201,15,609,15,5,33.3,8,53.3,425,2284,1097,16,17,1,9,13,497,23,Matches
5317,Dani Olmo,Attack,Attacking Midfield,es ESP,MF,RB Leipzig,de Bundesliga,25,1998,16.1,4,45,13,28.9,2.8,0.81,0.09,0.31,18.7,3,0,0,3.3,3.3,0.07,0.7,0.7,Matches,511,657,77.8,8589,2309,256,306,83.7,187,226,82.7,52,74,70.3,5,5.4,3.7,-0.4,32,60,21,7,68,Matches,657,639,13,9,9,9,21,4,0,0,0,0,511,5,21,Matches,61,3.79,44,0,3,9,3,2,8,0.5,8,0,0,0,0,0,Matches,26,18,14,8,4,10,22,45.5,12,7,0,7,13,39,12,1,Matches,854,18,116,419,329,59,854,72,31,43.1,38,52.8,544,3571,1925,60,49,18,28,26,651,111,Matches
5410,Daniel Maldini,Attack,Attacking Midfield,it ITA,"FW,MF",Empoli,it Serie A,21,2001,2.9,0,9,2,22.2,3.08,0.68,0,0,26.4,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,61,80,76.3,965,212,30,33,90.9,22,27,81.5,5,8,62.5,0,0,0.2,0,1,5,3,0,10,Matches,80,68,10,3,0,1,5,1,1,1,0,0,61,2,3,Matches,7,2.4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,Matches,4,2,0,2,2,2,2,100,0,5,0,5,2,6,2,0,Matches,135,1,10,66,63,8,135,17,7,41.2,10,58.8,68,456,197,7,7,2,11,5,87,10,Matches
5411,Daniel Maldini,Attack,Attacking Midfield,it ITA,"MF,FW",Monza,it Serie A,21,2001,3.7,4,12,5,41.7,3.24,1.35,0.33,0.8,20,1,0,0,1.3,1.3,0.11,2.7,2.7,Matches,89,114,78.1,1463,391,50,57,87.7,25,31,80.6,12,20,60,1,1.2,0.6,-0.2,11,7,6,1,10,Matches,114,103,11,2,1,0,9,0,8,3,2,0,89,0,1,Matches,19,5.14,13,2,4,0,0,0,2,0.54,2,0,0,0,0,0,Matches,3,2,0,2,1,3,6,50,3,2,0,2,2,5,1,0,Matches,159,2,21,74,71,13,159,19,9,47.4,7,36.8,101,770,419,15,7,7,12,5,123,22,Matches
5546,Danilho Doekhi,Defender,Centre-Back,nl NED,DF,Union Berlin,de Bundesliga,25,1998,24,2,16,2,12.5,0.67,0.08,0.13,1,10,0,0,0,1.2,1.2,0.07,0.8,0.8,Matches,738,919,80.3,13735,5232,273,311,87.8,379,434,87.3,72,146,49.3,0,0.2,1,-0.2,4,67,9,1,65,Matches,919,894,23,21,0,5,4,2,0,0,0,0,738,2,9,Matches,25,1.04,17,0,0,4,4,0,3,0.12,1,0,0,1,1,0,Matches,34,23,18,16,0,15,21,71.4,6,46,25,21,38,72,111,1,Matches,1225,154,634,537,58,25,1225,4,2,50,0,0,585,2763,1599,7,16,1,9,2,726,6,Matches
5547,Danilo,Attack,Centre-Forward,br BRA,DF,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,1591,1849,86,31356,11027,541,580,93.3,839,916,91.6,195,303,64.4,1,0.9,1,0.1,21,148,14,4,161,Matches,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,Matches,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,Matches,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,Matches,2118,255,815,1113,200,20,2118,12,8,66.7,1,8.3,1060,4741,2503,18,14,2,13,3,1345,21,Matches
5548,Danilo,Attack,Centre-Forward,br BRA,MF,Nott'ham Forest,eng Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,0.5,20,74,14,0,83,Matches,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches,48,2.41,34,5,4,4,1,0,4,0.2,4,0,0,0,0,0,Matches,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches,977,79,281,521,191,16,977,26,17,65.4,9,34.6,515,2547,1178,22,20,3,24,13,592,28,Matches
5549,Danilo,Attack,Attacking Midfield,br BRA,DF,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,1591,1849,86,31356,11027,541,580,93.3,839,916,91.6,195,303,64.4,1,0.9,1,0.1,21,148,14,4,161,Matches,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,Matches,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,Matches,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,Matches,2118,255,815,1113,200,20,2118,12,8,66.7,1,8.3,1060,4741,2503,18,14,2,13,3,1345,21,Matches
5550,Danilo,Attack,Attacking Midfield,br BRA,MF,Nott'ham Forest,eng Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,0.5,20,74,14,0,83,Matches,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches,48,2.41,34,5,4,4,1,0,4,0.2,4,0,0,0,0,0,Matches,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches,977,79,281,521,191,16,977,26,17,65.4,9,34.6,515,2547,1178,22,20,3,24,13,592,28,Matches
5551,Danilo,Defender,Centre-Back,br BRA,DF,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,1591,1849,86,31356,11027,541,580,93.3,839,916,91.6,195,303,64.4,1,0.9,1,0.1,21,148,14,4,161,Matches,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,Matches,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,Matches,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,Matches,2118,255,815,1113,200,20,2118,12,8,66.7,1,8.3,1060,4741,2503,18,14,2,13,3,1345,21,Matches
5552,Danilo,Defender,Centre-Back,br BRA,MF,Nott'ham Forest,eng Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,0.5,20,74,14,0,83,Matches,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches,48,2.41,34,5,4,4,1,0,4,0.2,4,0,0,0,0,0,Matches,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches,977,79,281,521,191,16,977,26,17,65.4,9,34.6,515,2547,1178,22,20,3,24,13,592,28,Matches
5553,Danilo,Attack,Centre-Forward,br BRA,DF,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,1591,1849,86,31356,11027,541,580,93.3,839,916,91.6,195,303,64.4,1,0.9,1,0.1,21,148,14,4,161,Matches,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,Matches,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,Matches,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,Matches,2118,255,815,1113,200,20,2118,12,8,66.7,1,8.3,1060,4741,2503,18,14,2,13,3,1345,21,Matches
5554,Danilo,Attack,Centre-Forward,br BRA,MF,Nott'ham Forest,eng Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,0.5,20,74,14,0,83,Matches,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches,48,2.41,34,5,4,4,1,0,4,0.2,4,0,0,0,0,0,Matches,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches,977,79,281,521,191,16,977,26,17,65.4,9,34.6,515,2547,1178,22,20,3,24,13,592,28,Matches
5555,Danilo,Defender,Right-Back,br BRA,DF,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,1591,1849,86,31356,11027,541,580,93.3,839,916,91.6,195,303,64.4,1,0.9,1,0.1,21,148,14,4,161,Matches,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,Matches,48,1.76,41,1,1,2,0,3,3,0.11,1,0,0,1,0,1,Matches,60,36,38,18,4,32,48,66.7,16,34,15,19,37,97,94,0,Matches,2118,255,815,1113,200,20,2118,12,8,66.7,1,8.3,1060,4741,2503,18,14,2,13,3,1345,21,Matches
5556,Danilo,Defender,Right-Back,br BRA,MF,Nott'ham Forest,eng Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21,0,0,0,1.8,1.8,0.08,0.2,0.2,Matches,589,758,77.7,10498,3239,255,297,85.9,247,286,86.4,70,123,56.9,2,1.5,0.7,0.5,20,74,14,0,83,Matches,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,Matches,48,2.41,34,5,4,4,1,0,4,0.2,4,0,0,0,0,0,Matches,36,18,22,12,2,21,46,45.7,25,33,8,25,35,71,42,0,Matches,977,79,281,521,191,16,977,26,17,65.4,9,34.6,515,2547,1178,22,20,3,24,13,592,28,Matches
5560,Danilo Cataldi,Midfield,Defensive Midfield,it ITA,MF,Lazio,it Serie A,28,1994,15.1,1,12,2,16.7,0.79,0.13,0.08,0.5,27.8,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches,800,932,85.8,12545,3512,421,452,93.1,309,347,89,48,94,51.1,0,0.8,0.9,-0.8,11,79,8,2,69,Matches,932,882,48,23,3,3,31,5,20,4,13,0,800,2,8,Matches,23,1.52,15,6,2,0,0,0,1,0.07,1,0,0,0,0,0,Matches,24,12,7,16,1,8,18,44.4,10,15,7,8,17,41,19,1,Matches,1040,42,219,691,139,0,1040,8,6,75,2,25,491,2369,1020,9,9,0,9,6,719,7,Matches
5568,Danilo Pereira,Midfield,Defensive Midfield,pt POR,DF,Paris S-G,fr Ligue 1,31,1991,22.2,0,10,1,10,0.45,0.05,0,0,10.8,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches,2089,2223,94,40180,13453,631,662,95.3,1277,1321,96.7,163,211,77.3,0,0,0.9,0,0,222,4,0,148,Matches,2223,2181,39,33,1,4,1,5,0,0,0,0,2089,3,2,Matches,14,0.63,14,0,0,0,0,0,2,0.09,2,0,0,0,0,0,Matches,22,12,14,6,2,9,17,52.9,8,29,26,3,23,45,100,1,Matches,2430,240,827,1543,70,15,2430,5,3,60,2,40,2016,10737,6336,28,23,0,4,1,1902,2,Matches
5596,Danny Ings,Attack,Centre-Forward,eng ENG,FW,West Ham,eng Premier League,31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,13.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches,76,107,71,854,170,40,50,80,19,24,79.2,1,8,12.5,0,0.3,0.3,-0.3,5,2,3,0,8,Matches,107,100,6,0,0,0,1,0,0,0,0,0,76,1,6,Matches,17,3.79,8,0,3,4,1,1,3,0.67,0,0,1,1,1,0,Matches,6,2,0,6,0,4,13,30.8,9,4,1,3,3,9,7,0,Matches,165,8,20,68,79,24,165,13,6,46.2,6,46.2,94,381,129,7,2,3,9,4,107,29,Matches
5616,Danny Welbeck,Attack,Centre-Forward,eng ENG,"FW,MF",Brighton,eng Premier League,32,1990,18.8,5,41,16,39,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches,423,515,82.1,4847,730,304,349,87.1,91,106,85.8,1,2,50,1,1.7,1.4,-0.7,22,23,13,0,44,Matches,515,490,21,1,4,1,3,2,0,0,0,0,423,4,22,Matches,71,3.77,52,0,3,11,5,0,7,0.37,3,0,0,2,2,0,Matches,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1,Matches,727,20,71,337,325,73,727,27,8,29.6,16,59.3,443,2011,877,32,16,13,46,21,533,100,Matches
5624,Dante,Defender,Centre-Back,br BRA,DF,Nice,fr Ligue 1,39,1983,31.6,1,15,5,33.3,0.47,0.16,0.07,0.2,13.9,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches,2540,2803,90.6,43573,17293,1157,1213,95.4,1141,1202,94.9,183,303,60.4,1,1,1.2,0,13,170,7,1,185,Matches,2803,2665,133,69,4,11,10,8,0,0,0,0,2540,5,11,Matches,51,1.61,49,0,0,2,0,0,6,0.19,6,0,0,0,0,0,Matches,62,30,44,16,2,38,52,73.1,14,43,22,21,37,99,77,2,Matches,3067,325,1402,1592,87,20,3067,5,4,80,1,20,2477,12006,6060,13,20,1,14,5,2315,6,Matches
5632,Dany Mota,Attack,Centre-Forward,pt POR,"FW,MF",Monza,it Serie A,25,1998,22.8,4,38,11,28.9,1.67,0.48,0.11,0.36,14.4,0,0,0,3.6,3.6,0.09,0.4,0.4,Matches,625,836,74.8,10962,1870,316,373,84.7,222,289,76.8,75,108,69.4,3,3,3.1,0,34,29,21,11,57,Matches,836,775,58,9,1,5,89,5,31,3,23,0,625,3,33,Matches,71,3.12,49,14,0,2,6,0,8,0.35,5,0,0,0,3,0,Matches,13,7,2,5,6,8,17,47.1,9,4,1,3,2,15,18,0,Matches,1028,22,101,434,504,93,1028,49,16,32.7,28,57.1,696,5390,2771,112,82,32,43,30,785,152,Matches
