,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
20980,Pol Lirola,Defender,Right-Back,es ESP,DF,Frosinone,it Serie A,25,1997,17.1,2,9,3,33.3,0.53,0.18,0.22,0.67,19,0,0,0,1.3,1.3,0.15,0.7,0.7,Matches,556,722,77,9018,3289,302,341,88.6,194,248,78.2,47,89,52.8,1,1.1,1,-0.1,13,37,14,3,65,Matches,722,627,93,15,2,2,25,78,0,0,0,0,556,2,20,Matches,32,1.88,28,2,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,Matches,874,45,294,403,184,13,874,13,6,46.2,7,53.8,393,2267,1306,30,20,1,11,9,486,59,Matches
20987,Pontus Almqvist,Attack,Left Winger,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches,351,478,73.4,4689,1071,224,282,79.4,85,120,70.8,17,20,85,1,2.7,1.8,-1.7,27,14,12,4,32,Matches,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,Matches,64,2.74,38,1,9,5,8,3,7,0.3,4,0,0,0,2,1,Matches,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0,Matches,779,11,105,332,360,80,779,93,37,39.8,43,46.2,505,4048,1930,72,47,35,59,39,558,137,Matches
20992,Portu,Attack,Right Winger,es ESP,FW,Getafe,es La Liga,31,1992,1.1,0,1,1,100,0.93,0.93,0,0,8.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,17,23,73.9,226,115,8,10,80,5,6,83.3,1,1,100,0,0.2,0.3,-0.2,2,1,2,0,3,Matches,23,21,2,1,0,0,2,0,1,0,1,0,17,0,2,Matches,2,1.86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5,3,4,0,1,5,6,83.3,1,0,0,0,0,5,0,0,Matches,36,0,5,4,28,4,36,3,0,0,3,100,17,184,97,3,4,0,2,1,23,3,Matches
20993,Portu,Attack,Right Winger,es ESP,"MF,FW",Girona,es La Liga,31,1992,13.2,7,21,10,47.6,1.59,0.76,0.33,0.7,11.5,0,0,0,3.4,3.4,0.16,3.6,3.6,Matches,232,308,75.3,3208,778,128,154,83.1,83,99,83.8,7,19,36.8,5,3.5,2.2,1.5,16,13,9,2,32,Matches,308,291,14,1,4,0,19,0,2,0,2,0,232,3,15,Matches,29,2.2,22,1,2,2,2,0,9,0.68,7,0,1,0,1,0,Matches,18,13,3,10,5,3,18,16.7,15,9,1,8,4,22,6,0,Matches,426,4,43,183,207,55,426,19,4,21.1,14,73.7,270,1533,809,32,30,10,23,15,314,96,Matches
21006,Przemyslaw Frankowski,Midfield,Right Midfield,pl POL,DF,Lens,fr Ligue 1,28,1995,24.4,3,29,8,27.6,1.19,0.33,0.07,0.25,21.7,2,1,2,3.7,2.1,0.08,-0.7,-0.1,Matches,1008,1320,76.4,16279,5614,503,580,86.7,406,525,77.3,70,137,51.1,2,3.8,5,-1.8,39,75,43,15,112,Matches,1320,1108,206,8,3,5,118,188,10,3,4,0,1008,6,38,Matches,76,3.12,63,8,2,2,0,1,4,0.16,3,0,0,1,0,0,Matches,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36,0,Matches,1584,49,299,646,647,55,1582,30,12,40,18,60,1056,5787,2415,56,42,6,36,15,997,210,Matches
21028,Quentin Merlin,Defender,Left-Back,fr FRA,DF,Marseille,fr Ligue 1,21,2002,7.8,0,5,1,20,0.64,0.13,0,0,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,360,465,77.4,6916,2515,130,155,83.9,170,207,82.1,52,85,61.2,1,1.1,1.2,-0.1,12,48,9,6,46,Matches,465,379,84,18,1,1,40,59,7,1,6,0,360,2,11,Matches,23,2.95,13,7,1,2,0,0,2,0.26,2,0,0,0,0,0,Matches,13,12,7,5,1,8,20,40,12,4,0,4,6,19,14,0,Matches,525,16,119,268,139,8,525,9,4,44.4,4,44.4,347,2091,796,15,6,4,7,6,318,56,Matches
21029,Quentin Merlin,Defender,Left-Back,fr FRA,DF,Nantes,fr Ligue 1,21,2002,14.3,0,14,3,21.4,0.98,0.21,0,0,20.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,615,841,73.1,11723,4968,236,281,84,291,371,78.4,75,150,50,1,1.3,1.9,-0.3,18,72,28,8,98,Matches,841,689,148,11,8,6,63,121,16,6,5,0,615,4,17,Matches,44,3.09,36,4,0,3,0,1,5,0.35,3,1,0,1,0,0,Matches,29,20,15,12,2,16,25,64,9,22,1,21,18,47,22,0,Matches,984,39,245,452,297,19,984,19,10,52.6,9,47.4,661,3678,1787,34,38,5,17,6,596,62,Matches
21057,Radamel Falcao,Attack,Centre-Forward,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,1986,4.5,1,16,6,37.5,3.54,1.33,0,0,14.5,0,1,1,2.7,2,0.12,-1.7,-2,Matches,92,110,83.6,1099,186,65,74,87.8,18,21,85.7,3,4,75,0,0.3,0.3,-0.3,4,5,2,0,7,Matches,110,103,7,1,1,0,1,2,0,0,0,0,92,0,1,Matches,13,2.87,8,0,0,1,3,1,0,0,0,0,0,0,0,0,Matches,7,5,1,5,1,1,3,33.3,2,2,0,2,3,10,4,0,Matches,169,4,13,67,91,23,168,8,3,37.5,4,50,97,429,171,7,4,5,13,12,132,23,Matches
21084,Rafa Mir,Attack,Centre-Forward,es ESP,"FW,MF",Sevilla,es La Liga,26,1997,4.3,2,15,7,46.7,3.45,1.61,0.13,0.29,16.9,0,0,0,1.4,1.4,0.1,0.6,0.6,Matches,61,88,69.3,868,109,32,41,78,24,30,80,2,5,40,0,0.3,0.1,-0.3,5,1,1,1,2,Matches,88,83,4,0,0,2,2,0,0,0,0,0,61,1,5,Matches,13,2.99,7,0,2,3,1,0,2,0.46,0,0,2,0,0,0,Matches,2,2,1,1,0,1,2,50,1,2,0,2,1,3,1,0,Matches,136,2,11,61,67,20,136,6,2,33.3,3,50,73,349,147,3,2,3,9,3,93,16,Matches
21176,Raheem Sterling,Attack,Left Winger,eng ENG,"FW,MF",Chelsea,eng Premier League,28,1994,22,8,51,21,41.2,2.32,0.96,0.16,0.38,14.5,5,0,0,6.5,6.5,0.13,1.5,1.5,Matches,538,728,73.9,7091,1775,363,428,84.8,135,191,70.7,18,33,54.5,4,4.5,4.3,-0.5,30,31,35,7,78,Matches,728,716,7,0,11,1,59,6,0,0,0,0,538,5,34,Matches,85,3.87,55,0,15,4,7,4,14,0.64,7,0,4,0,3,0,Matches,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1,Matches,1019,8,77,324,638,167,1019,132,45,34.1,70,53,744,5113,3063,120,51,65,54,44,821,242,Matches
