,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6,position,sub_position
1175,Julian Justvan,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25.0,1998.0,11.4,2.0,17.0,4.0,23.5,1.5,0.35,0.12,0.5,21.4,0.0,0.0,0.0,0.9,0.9,0.05,1.1,1.1,Matches,294.0,408.0,72.1,5159.0,2012.0,147.0,172.0,85.5,105.0,139.0,75.5,35.0,67.0,52.2,2.0,2.5,3.5,-0.5,23.0,34.0,19.0,3.0,56.0,Matches,408.0,358.0,49.0,13.0,5.0,7.0,41.0,14.0,18.0,11.0,7.0,0.0,294.0,1.0,16.0,Matches,46.0,4.05,30.0,8.0,5.0,2.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,Matches,10.0,4.0,2.0,7.0,1.0,3.0,17.0,17.6,14.0,12.0,2.0,10.0,11.0,21.0,6.0,1.0,Matches,517.0,15.0,75.0,259.0,191.0,20.0,517.0,37.0,16.0,43.2,19.0,51.4,291.0,1675.0,827.0,20.0,19.0,5.0,15.0,10.0,338.0,50.0,Matches,Attack,Attacking Midfield
1176,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25.0,1997.0,19.6,4.0,18.0,8.0,44.4,0.92,0.41,0.22,0.5,19.5,0.0,0.0,0.0,1.8,1.8,0.1,2.2,2.2,Matches,974.0,1129.0,86.3,14916.0,3144.0,503.0,549.0,91.6,399.0,448.0,89.1,43.0,70.0,61.4,1.0,2.7,2.8,-1.7,14.0,46.0,7.0,5.0,64.0,Matches,1129.0,997.0,129.0,9.0,0.0,2.0,40.0,120.0,0.0,0.0,0.0,0.0,974.0,3.0,19.0,Matches,29.0,1.48,22.0,0.0,2.0,2.0,1.0,2.0,4.0,0.2,2.0,0.0,1.0,0.0,0.0,1.0,Matches,41.0,23.0,26.0,11.0,4.0,27.0,47.0,57.4,20.0,31.0,7.0,24.0,10.0,51.0,35.0,3.0,Matches,1346.0,60.0,430.0,588.0,343.0,32.0,1346.0,40.0,16.0,40.0,18.0,45.0,813.0,4244.0,2096.0,41.0,41.0,6.0,29.0,26.0,867.0,118.0,Matches,Defender,Right-Back
1177,Julian Weigl,de GER,MF,Gladbach,de Bundesliga,27.0,1995.0,30.7,2.0,17.0,4.0,23.5,0.55,0.13,0.0,0.0,25.2,1.0,2.0,2.0,2.4,0.9,0.05,-0.4,-0.9,Matches,1311.0,1473.0,89.0,23744.0,6245.0,522.0,568.0,91.9,629.0,673.0,93.5,130.0,169.0,76.9,3.0,2.1,1.4,0.9,24.0,105.0,10.0,1.0,105.0,Matches,1473.0,1375.0,94.0,86.0,2.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,1311.0,4.0,21.0,Matches,52.0,1.69,42.0,2.0,3.0,1.0,1.0,3.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,Matches,66.0,40.0,28.0,32.0,6.0,41.0,67.0,61.2,26.0,47.0,14.0,33.0,48.0,114.0,61.0,1.0,Matches,1781.0,95.0,582.0,1038.0,180.0,11.0,1779.0,24.0,14.0,58.3,6.0,25.0,932.0,3694.0,1713.0,14.0,16.0,1.0,17.0,9.0,1102.0,14.0,Matches,Midfield,Defensive Midfield
1178,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29.0,1993.0,20.2,0.0,13.0,1.0,7.7,0.64,0.05,0.0,0.0,12.3,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Matches,883.0,1023.0,86.3,18687.0,7085.0,251.0,271.0,92.6,482.0,515.0,93.6,140.0,219.0,63.9,0.0,0.0,0.3,0.0,1.0,66.0,7.0,1.0,56.0,Matches,1023.0,975.0,45.0,20.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,883.0,3.0,5.0,Matches,8.0,0.4,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,23.0,14.0,15.0,7.0,1.0,16.0,36.0,44.4,20.0,36.0,26.0,10.0,11.0,34.0,116.0,1.0,Matches,1234.0,238.0,656.0,550.0,32.0,16.0,1234.0,2.0,1.0,50.0,1.0,50.0,876.0,4611.0,2433.0,5.0,3.0,1.0,1.0,2.0,819.0,3.0,Matches,Defender,Centre-Back
1179,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,25.0,1997.0,5.3,0.0,4.0,2.0,50.0,0.76,0.38,0.0,0.0,17.3,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,Matches,212.0,258.0,82.2,4339.0,1880.0,68.0,80.0,85.0,92.0,107.0,86.0,44.0,58.0,75.9,0.0,0.1,0.1,-0.1,2.0,18.0,0.0,0.0,24.0,Matches,258.0,246.0,11.0,5.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,212.0,1.0,3.0,Matches,9.0,1.71,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.38,1.0,0.0,0.0,0.0,1.0,0.0,Matches,19.0,11.0,11.0,7.0,1.0,8.0,12.0,66.7,4.0,6.0,3.0,3.0,13.0,32.0,26.0,0.0,Matches,343.0,39.0,160.0,157.0,28.0,7.0,343.0,5.0,3.0,60.0,2.0,40.0,201.0,1334.0,646.0,3.0,4.0,0.0,5.0,1.0,180.0,4.0,Matches,Defender,Right-Back
1180,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25.0,1997.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,23.0,32.0,71.9,435.0,201.0,6.0,8.0,75.0,12.0,15.0,80.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Matches,32.0,27.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,Matches,1.0,1.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,6.0,2.0,4.0,2.0,0.0,4.0,9.0,44.4,5.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,Matches,40.0,3.0,16.0,20.0,5.0,0.0,40.0,1.0,1.0,100.0,0.0,0.0,23.0,142.0,43.0,1.0,0.0,0.0,0.0,0.0,18.0,2.0,Matches,Defender,Right-Back
1181,Julien Ponceau,fr FRA,MF,Lorient,fr Ligue 1,22.0,2000.0,24.9,3.0,33.0,13.0,39.4,1.32,0.52,0.09,0.23,19.9,0.0,0.0,0.0,3.3,3.3,0.1,-0.3,-0.3,Matches,1014.0,1200.0,84.5,15686.0,3946.0,516.0,575.0,89.7,377.0,424.0,88.9,69.0,106.0,65.1,2.0,2.7,1.9,-0.7,35.0,84.0,30.0,3.0,154.0,Matches,1200.0,1126.0,66.0,26.0,2.0,4.0,49.0,16.0,23.0,8.0,15.0,0.0,1014.0,8.0,29.0,Matches,83.0,3.33,58.0,7.0,7.0,6.0,4.0,1.0,8.0,0.32,6.0,0.0,0.0,2.0,0.0,0.0,Matches,32.0,15.0,12.0,14.0,6.0,9.0,30.0,30.0,21.0,22.0,1.0,21.0,19.0,51.0,20.0,0.0,Matches,1471.0,30.0,233.0,771.0,499.0,52.0,1471.0,85.0,42.0,49.4,38.0,44.7,1139.0,8029.0,3775.0,106.0,93.0,14.0,47.0,41.0,1058.0,152.0,Matches,Attack,Attacking Midfield
1182,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,19.0,2004.0,5.3,0.0,28.0,8.0,28.6,5.31,1.52,0.0,0.0,21.2,0.0,0.0,0.0,1.4,1.4,0.05,-1.4,-1.4,Matches,132.0,178.0,74.2,1842.0,562.0,77.0,89.0,86.5,41.0,58.0,70.7,9.0,12.0,75.0,2.0,1.7,1.3,0.3,9.0,12.0,4.0,2.0,21.0,Matches,178.0,168.0,8.0,2.0,2.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,132.0,2.0,5.0,Matches,23.0,4.34,15.0,0.0,5.0,3.0,0.0,0.0,2.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0,Matches,6.0,2.0,3.0,2.0,1.0,2.0,7.0,28.6,5.0,11.0,0.0,11.0,0.0,6.0,3.0,0.0,Matches,257.0,5.0,24.0,106.0,131.0,21.0,257.0,29.0,17.0,58.6,7.0,24.1,193.0,1299.0,839.0,28.0,20.0,7.0,15.0,8.0,202.0,29.0,Matches,Attack,Second Striker
1186,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22.0,2000.0,21.7,5.0,52.0,15.0,28.8,2.39,0.69,0.1,0.33,15.1,0.0,0.0,0.0,5.0,5.0,0.1,0.0,0.0,Matches,715.0,935.0,76.5,10995.0,2999.0,379.0,451.0,84.0,275.0,343.0,80.2,38.0,65.0,58.5,3.0,2.9,3.7,0.1,20.0,62.0,19.0,3.0,79.0,Matches,935.0,839.0,93.0,5.0,7.0,5.0,21.0,88.0,0.0,0.0,0.0,0.0,715.0,3.0,27.0,Matches,54.0,2.48,38.0,0.0,8.0,5.0,2.0,1.0,6.0,0.28,6.0,0.0,0.0,0.0,0.0,0.0,Matches,44.0,29.0,15.0,17.0,12.0,18.0,41.0,43.9,23.0,28.0,7.0,21.0,9.0,53.0,39.0,1.0,Matches,1256.0,54.0,230.0,616.0,431.0,94.0,1256.0,90.0,42.0,46.7,44.0,48.9,687.0,3618.0,1760.0,57.0,32.0,25.0,59.0,30.0,831.0,157.0,Matches,Midfield,Right Midfield
1187,Junior Messias,br BRA,"MF,DF",Genoa,it Serie A,32.0,1991.0,11.7,1.0,22.0,3.0,13.6,1.88,0.26,0.05,0.33,18.2,1.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,Matches,245.0,337.0,72.7,3861.0,1103.0,120.0,143.0,83.9,92.0,125.0,73.6,17.0,39.0,43.6,0.0,1.3,1.2,-1.3,15.0,24.0,12.0,5.0,29.0,Matches,337.0,307.0,30.0,5.0,1.0,3.0,24.0,14.0,4.0,2.0,2.0,0.0,245.0,0.0,7.0,Matches,42.0,3.59,26.0,4.0,2.0,4.0,6.0,0.0,5.0,0.43,3.0,0.0,0.0,1.0,1.0,0.0,Matches,26.0,20.0,19.0,5.0,2.0,8.0,19.0,42.1,11.0,9.0,1.0,8.0,5.0,31.0,22.0,0.0,Matches,490.0,23.0,100.0,208.0,194.0,28.0,490.0,43.0,16.0,37.2,18.0,41.9,282.0,2069.0,1138.0,35.0,29.0,6.0,24.0,13.0,309.0,75.0,Matches,Attack,Right Winger
1188,Junior Mwanga,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,20.0,2003.0,16.1,1.0,20.0,4.0,20.0,1.24,0.25,0.05,0.25,19.9,0.0,0.0,0.0,1.4,1.4,0.07,-0.4,-0.4,Matches,416.0,521.0,79.8,7563.0,1911.0,167.0,205.0,81.5,191.0,225.0,84.9,47.0,62.0,75.8,1.0,0.8,0.8,0.2,13.0,48.0,9.0,0.0,56.0,Matches,521.0,487.0,32.0,12.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,416.0,2.0,17.0,Matches,32.0,1.98,24.0,1.0,1.0,3.0,2.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,Matches,40.0,20.0,23.0,12.0,5.0,12.0,24.0,50.0,12.0,20.0,5.0,15.0,18.0,58.0,19.0,0.0,Matches,714.0,44.0,188.0,370.0,168.0,25.0,714.0,46.0,28.0,60.9,15.0,32.6,471.0,3113.0,1427.0,28.0,20.0,6.0,32.0,24.0,425.0,37.0,Matches,Defender,Centre-Back
1189,Junior Sambia,fr FRA,"DF,MF",Salernitana,it Serie A,26.0,1996.0,11.5,1.0,12.0,4.0,33.3,1.05,0.35,0.08,0.25,25.9,5.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,Matches,397.0,508.0,78.1,6404.0,2412.0,213.0,238.0,89.5,135.0,182.0,74.2,38.0,63.0,60.3,2.0,0.9,0.6,1.1,12.0,30.0,10.0,5.0,41.0,Matches,508.0,419.0,88.0,8.0,0.0,1.0,28.0,75.0,5.0,1.0,4.0,0.0,397.0,1.0,10.0,Matches,27.0,2.36,18.0,4.0,1.0,3.0,1.0,0.0,4.0,0.35,2.0,2.0,0.0,0.0,0.0,0.0,Matches,12.0,5.0,8.0,1.0,3.0,6.0,11.0,54.5,5.0,15.0,7.0,8.0,11.0,23.0,28.0,0.0,Matches,634.0,40.0,183.0,287.0,170.0,18.0,634.0,24.0,5.0,20.8,12.0,50.0,308.0,1573.0,868.0,23.0,20.0,9.0,16.0,12.0,393.0,37.0,Matches,Defender,Right-Back
1190,Junya Ito,jp JPN,"FW,MF",Reims,fr Ligue 1,30.0,1993.0,30.2,3.0,46.0,15.0,32.6,1.53,0.5,0.07,0.2,16.6,1.0,0.0,0.0,4.5,4.5,0.1,-1.5,-1.5,Matches,741.0,1131.0,65.5,12890.0,5184.0,371.0,476.0,77.9,257.0,362.0,71.0,88.0,204.0,43.1,7.0,11.5,9.9,-4.5,80.0,82.0,58.0,26.0,139.0,Matches,1131.0,993.0,130.0,23.0,10.0,12.0,201.0,23.0,84.0,23.0,47.0,0.0,741.0,8.0,42.0,Matches,135.0,4.48,96.0,23.0,8.0,7.0,1.0,0.0,10.0,0.33,9.0,0.0,0.0,1.0,0.0,0.0,Matches,33.0,15.0,11.0,14.0,8.0,10.0,36.0,27.8,26.0,23.0,1.0,22.0,14.0,47.0,7.0,0.0,Matches,1428.0,15.0,134.0,538.0,776.0,100.0,1428.0,108.0,54.0,50.0,46.0,42.6,1069.0,7115.0,3389.0,123.0,76.0,35.0,72.0,37.0,1026.0,287.0,Matches,Attack,Right Winger
1192,Justin Kluivert,nl NED,"MF,FW",Bournemouth,eng Premier League,24.0,1999.0,21.3,7.0,56.0,20.0,35.7,2.63,0.94,0.13,0.35,17.4,3.0,0.0,0.0,6.2,6.2,0.11,0.8,0.8,Matches,288.0,421.0,68.4,4393.0,1193.0,147.0,194.0,75.8,104.0,137.0,75.9,18.0,32.0,56.3,1.0,1.9,1.6,-0.9,21.0,10.0,24.0,2.0,50.0,Matches,421.0,399.0,18.0,1.0,0.0,3.0,29.0,7.0,2.0,0.0,0.0,1.0,288.0,4.0,19.0,Matches,59.0,2.77,37.0,0.0,9.0,6.0,4.0,3.0,5.0,0.23,3.0,0.0,1.0,0.0,0.0,1.0,Matches,28.0,14.0,5.0,12.0,11.0,8.0,30.0,26.7,22.0,16.0,1.0,15.0,8.0,36.0,11.0,0.0,Matches,694.0,13.0,86.0,224.0,397.0,108.0,694.0,67.0,24.0,35.8,41.0,61.2,414.0,2930.0,1644.0,65.0,37.0,35.0,50.0,30.0,442.0,114.0,Matches,Attack,Left Winger
1201,Kacper Urbanski,pl POL,"MF,FW",Bologna,it Serie A,18.0,2004.0,10.3,0.0,17.0,6.0,35.3,1.65,0.58,0.0,0.0,17.6,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,Matches,313.0,387.0,80.9,4813.0,1017.0,171.0,193.0,88.6,103.0,125.0,82.4,22.0,33.0,66.7,1.0,0.8,0.8,0.2,16.0,25.0,8.0,2.0,31.0,Matches,387.0,364.0,21.0,2.0,1.0,5.0,22.0,4.0,15.0,5.0,8.0,1.0,313.0,2.0,11.0,Matches,35.0,3.4,24.0,5.0,3.0,3.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,Matches,16.0,10.0,5.0,10.0,1.0,6.0,13.0,46.2,7.0,15.0,1.0,14.0,4.0,20.0,14.0,0.0,Matches,510.0,14.0,72.0,249.0,200.0,24.0,510.0,33.0,20.0,60.6,12.0,36.4,302.0,2006.0,823.0,25.0,17.0,5.0,22.0,14.0,357.0,78.0,Matches,Midfield,Defensive Midfield
1202,Kai Havertz,de GER,"MF,FW",Arsenal,eng Premier League,24.0,1999.0,29.3,13.0,68.0,27.0,39.7,2.32,0.92,0.18,0.44,12.4,0.0,1.0,1.0,12.3,11.6,0.17,0.7,0.4,Matches,764.0,955.0,80.0,9583.0,2405.0,525.0,609.0,86.2,195.0,245.0,79.6,7.0,15.0,46.7,7.0,4.4,4.3,2.6,46.0,65.0,29.0,1.0,99.0,Matches,955.0,938.0,12.0,3.0,2.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,764.0,5.0,16.0,Matches,106.0,3.62,87.0,0.0,3.0,8.0,6.0,2.0,22.0,0.75,16.0,0.0,2.0,2.0,2.0,0.0,Matches,35.0,15.0,7.0,21.0,7.0,14.0,39.0,35.9,25.0,26.0,1.0,25.0,20.0,55.0,22.0,0.0,Matches,1282.0,29.0,143.0,541.0,611.0,184.0,1281.0,42.0,16.0,38.1,19.0,45.2,686.0,3077.0,1532.0,55.0,36.0,23.0,54.0,35.0,918.0,191.0,Matches,Attack,Attacking Midfield
1203,Kaiky,br BRA,DF,Almería,es La Liga,19.0,2004.0,5.8,1.0,3.0,1.0,33.3,0.52,0.17,0.33,1.0,11.4,0.0,0.0,0.0,0.2,0.2,0.08,0.8,0.8,Matches,217.0,263.0,82.5,4550.0,1819.0,58.0,67.0,86.6,122.0,133.0,91.7,30.0,52.0,57.7,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,24.0,Matches,263.0,252.0,11.0,10.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,217.0,0.0,4.0,Matches,3.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7.0,4.0,6.0,0.0,1.0,3.0,6.0,50.0,3.0,9.0,7.0,2.0,3.0,10.0,29.0,1.0,Matches,317.0,50.0,175.0,137.0,6.0,4.0,317.0,4.0,3.0,75.0,1.0,25.0,182.0,1023.0,683.0,4.0,0.0,0.0,1.0,0.0,200.0,1.0,Matches,Defender,Centre-Back
1204,Kaio Jorge,br BRA,FW,Frosinone,it Serie A,21.0,2002.0,9.0,3.0,25.0,12.0,48.0,2.77,1.33,0.08,0.17,14.9,1.0,1.0,2.0,5.4,3.8,0.16,-2.4,-1.8,Matches,116.0,159.0,73.0,1586.0,205.0,73.0,87.0,83.9,29.0,40.0,72.5,5.0,9.0,55.6,0.0,0.3,0.3,-0.3,8.0,7.0,2.0,0.0,11.0,Matches,159.0,133.0,26.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,116.0,0.0,5.0,Matches,21.0,2.33,13.0,0.0,1.0,5.0,1.0,1.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,Matches,6.0,4.0,0.0,1.0,5.0,3.0,4.0,75.0,1.0,6.0,0.0,6.0,1.0,7.0,0.0,0.0,Matches,245.0,0.0,9.0,118.0,123.0,43.0,243.0,18.0,5.0,27.8,13.0,72.2,140.0,577.0,183.0,6.0,6.0,4.0,23.0,9.0,160.0,46.0,Matches,Attack,Centre-Forward
1205,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,27.0,1995.0,1.0,0.0,2.0,0.0,0.0,1.94,0.0,0.0,,21.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,62.0,70.0,88.6,1067.0,300.0,31.0,32.0,96.9,24.0,26.0,92.3,7.0,10.0,70.0,0.0,0.0,0.1,0.0,0.0,8.0,1.0,1.0,7.0,Matches,70.0,67.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,Matches,1.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,Matches,87.0,3.0,14.0,52.0,23.0,1.0,87.0,3.0,1.0,33.3,2.0,66.7,51.0,402.0,221.0,7.0,5.0,1.0,4.0,2.0,57.0,3.0,Matches,Midfield,Defensive Midfield
1206,Kalvin Phillips,eng ENG,MF,West Ham,eng Premier League,27.0,1995.0,3.4,0.0,3.0,2.0,66.7,0.87,0.58,0.0,0.0,25.8,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,141.0,179.0,78.8,2507.0,567.0,62.0,74.0,83.8,64.0,77.0,83.1,12.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,19.0,Matches,179.0,170.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,141.0,2.0,2.0,Matches,5.0,1.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,11.0,6.0,2.0,8.0,1.0,5.0,9.0,55.6,4.0,4.0,1.0,3.0,4.0,15.0,2.0,1.0,Matches,215.0,7.0,43.0,153.0,21.0,1.0,215.0,5.0,1.0,20.0,4.0,80.0,110.0,585.0,240.0,3.0,1.0,0.0,4.0,3.0,136.0,4.0,Matches,Midfield,Defensive Midfield
1209,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20.0,2003.0,9.8,6.0,25.0,11.0,44.0,2.56,1.13,0.24,0.55,17.1,0.0,0.0,0.0,4.2,4.2,0.17,1.8,1.8,Matches,420.0,487.0,86.2,6341.0,1497.0,213.0,234.0,91.0,161.0,184.0,87.5,23.0,34.0,67.6,5.0,0.9,0.7,4.1,12.0,42.0,6.0,0.0,48.0,Matches,487.0,472.0,14.0,5.0,2.0,0.0,8.0,3.0,2.0,0.0,2.0,0.0,420.0,1.0,8.0,Matches,27.0,2.76,22.0,0.0,2.0,3.0,0.0,0.0,7.0,0.72,7.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,18.0,8.0,10.0,10.0,10.0,29.0,34.5,19.0,14.0,0.0,14.0,9.0,37.0,6.0,0.0,Matches,641.0,10.0,76.0,357.0,220.0,37.0,641.0,29.0,13.0,44.8,15.0,51.7,482.0,2648.0,1049.0,22.0,22.0,6.0,32.0,18.0,449.0,43.0,Matches,Attack,Attacking Midfield
1210,Kaoru Mitoma,jp JPN,FW,Brighton,eng Premier League,26.0,1997.0,16.5,3.0,34.0,15.0,44.1,2.06,0.91,0.09,0.2,13.2,0.0,0.0,0.0,3.5,3.5,0.1,-0.5,-0.5,Matches,509.0,650.0,78.3,6210.0,1486.0,357.0,413.0,86.4,110.0,153.0,71.9,9.0,24.0,37.5,4.0,2.7,3.6,1.3,25.0,23.0,34.0,5.0,64.0,Matches,650.0,639.0,9.0,1.0,3.0,0.0,44.0,7.0,1.0,0.0,0.0,0.0,509.0,2.0,18.0,Matches,62.0,3.76,47.0,0.0,10.0,3.0,2.0,0.0,10.0,0.61,6.0,0.0,3.0,1.0,0.0,0.0,Matches,13.0,6.0,3.0,7.0,3.0,5.0,19.0,26.3,14.0,15.0,1.0,14.0,5.0,18.0,12.0,0.0,Matches,852.0,17.0,79.0,270.0,514.0,136.0,852.0,94.0,39.0,41.5,44.0,46.8,616.0,4879.0,3147.0,121.0,54.0,62.0,38.0,15.0,677.0,239.0,Matches,Attack,Left Winger
1211,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21.0,2002.0,10.1,3.0,23.0,10.0,43.5,2.27,0.99,0.13,0.3,14.6,0.0,0.0,0.0,3.5,3.5,0.15,-0.5,-0.5,Matches,218.0,299.0,72.9,2929.0,719.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18.0,44.4,1.0,2.0,1.6,-1.0,9.0,9.0,10.0,1.0,26.0,Matches,299.0,280.0,19.0,3.0,0.0,1.0,25.0,11.0,4.0,1.0,2.0,0.0,218.0,0.0,16.0,Matches,25.0,2.46,13.0,1.0,3.0,2.0,6.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,14.0,9.0,4.0,3.0,8.0,20.0,40.0,12.0,11.0,0.0,11.0,3.0,19.0,5.0,0.0,Matches,458.0,10.0,69.0,170.0,227.0,63.0,458.0,60.0,18.0,30.0,32.0,53.3,310.0,2413.0,1171.0,52.0,22.0,27.0,29.0,25.0,318.0,96.0,Matches,Attack,Right Winger
