,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6,position,sub_position
1212,Karim Onisiwo,at AUT,"FW,MF",Mainz 05,de Bundesliga,31.0,1992.0,16.6,1.0,33.0,7.0,21.2,1.99,0.42,0.03,0.14,14.8,0.0,0.0,0.0,2.3,2.3,0.07,-1.3,-1.3,Matches,205.0,338.0,60.7,2977.0,710.0,117.0,166.0,70.5,52.0,88.0,59.1,19.0,31.0,61.3,3.0,1.3,1.3,1.7,16.0,19.0,9.0,5.0,27.0,Matches,338.0,304.0,30.0,0.0,3.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,205.0,4.0,20.0,Matches,51.0,3.07,29.0,0.0,5.0,9.0,8.0,0.0,7.0,0.42,3.0,0.0,1.0,3.0,0.0,0.0,Matches,17.0,8.0,4.0,6.0,7.0,6.0,11.0,54.5,5.0,18.0,4.0,14.0,2.0,19.0,7.0,0.0,Matches,538.0,12.0,45.0,211.0,285.0,77.0,538.0,45.0,19.0,42.2,17.0,37.8,323.0,1742.0,653.0,26.0,18.0,9.0,52.0,28.0,398.0,111.0,Matches,Attack,Centre-Forward
1213,Karol Linetty,pl POL,MF,Torino,it Serie A,28.0,1995.0,20.6,0.0,16.0,1.0,6.3,0.78,0.05,0.0,0.0,25.4,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,Matches,755.0,884.0,85.4,12771.0,3517.0,367.0,412.0,89.1,308.0,343.0,89.8,62.0,84.0,73.8,0.0,0.8,0.7,-0.8,15.0,79.0,6.0,1.0,87.0,Matches,884.0,849.0,31.0,24.0,0.0,7.0,19.0,2.0,5.0,2.0,3.0,0.0,755.0,4.0,8.0,Matches,36.0,1.74,27.0,4.0,1.0,2.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches,30.0,21.0,9.0,20.0,1.0,9.0,29.0,31.0,20.0,24.0,8.0,16.0,23.0,53.0,27.0,1.0,Matches,1068.0,42.0,192.0,703.0,182.0,13.0,1068.0,17.0,8.0,47.1,7.0,41.2,580.0,2736.0,1441.0,31.0,24.0,5.0,22.0,11.0,686.0,25.0,Matches,Midfield,Central Midfield
1214,Karol Swiderski,pl POL,"FW,MF",Hellas Verona,it Serie A,26.0,1997.0,5.6,2.0,15.0,6.0,40.0,2.68,1.07,0.13,0.33,13.7,0.0,0.0,0.0,1.7,1.7,0.12,0.3,0.3,Matches,84.0,120.0,70.0,1154.0,281.0,45.0,55.0,81.8,30.0,41.0,73.2,2.0,5.0,40.0,0.0,0.4,0.6,-0.4,8.0,5.0,4.0,1.0,13.0,Matches,120.0,108.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,84.0,3.0,8.0,Matches,17.0,3.04,13.0,0.0,1.0,0.0,3.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Matches,7.0,3.0,1.0,3.0,3.0,2.0,3.0,66.7,1.0,6.0,4.0,2.0,1.0,8.0,8.0,0.0,Matches,200.0,6.0,25.0,89.0,88.0,22.0,200.0,11.0,3.0,27.3,7.0,63.6,107.0,364.0,126.0,3.0,3.0,2.0,14.0,8.0,124.0,19.0,Matches,Attack,Centre-Forward
1217,Keinan Davis,eng ENG,"FW,MF",Udinese,it Serie A,25.0,1998.0,2.1,1.0,6.0,3.0,50.0,2.9,1.45,0.17,0.33,14.9,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,Matches,36.0,50.0,72.0,512.0,122.0,20.0,26.0,76.9,14.0,16.0,87.5,1.0,1.0,100.0,0.0,0.1,0.2,-0.1,3.0,3.0,2.0,0.0,6.0,Matches,50.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,Matches,11.0,5.32,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.48,0.0,0.0,0.0,1.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,76.0,3.0,8.0,20.0,50.0,9.0,76.0,5.0,3.0,60.0,1.0,20.0,41.0,334.0,74.0,2.0,1.0,3.0,9.0,3.0,61.0,15.0,Matches,Attack,Centre-Forward
1218,Keito Nakamura,jp JPN,"FW,MF",Reims,fr Ligue 1,23.0,2000.0,15.3,4.0,41.0,12.0,29.3,2.67,0.78,0.1,0.33,16.5,0.0,0.0,0.0,3.2,3.2,0.08,0.8,0.8,Matches,292.0,400.0,73.0,4714.0,1083.0,136.0,172.0,79.1,113.0,145.0,77.9,26.0,45.0,57.8,1.0,1.3,2.2,-0.3,14.0,28.0,16.0,2.0,56.0,Matches,400.0,391.0,5.0,1.0,2.0,5.0,23.0,2.0,1.0,1.0,0.0,0.0,292.0,4.0,13.0,Matches,37.0,2.41,30.0,0.0,3.0,4.0,0.0,0.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Matches,28.0,11.0,9.0,10.0,9.0,17.0,37.0,45.9,20.0,15.0,2.0,13.0,6.0,34.0,7.0,0.0,Matches,570.0,11.0,78.0,227.0,280.0,66.0,570.0,32.0,19.0,59.4,13.0,40.6,424.0,2780.0,1412.0,48.0,24.0,17.0,34.0,28.0,396.0,141.0,Matches,Attack,Left Winger
1219,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25.0,1998.0,8.9,0.0,1.0,0.0,0.0,0.11,0.0,0.0,,22.8,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,268.0,350.0,76.6,4336.0,1782.0,142.0,159.0,89.3,100.0,127.0,78.7,22.0,45.0,48.9,1.0,0.6,0.7,0.4,5.0,26.0,4.0,2.0,28.0,Matches,350.0,266.0,84.0,8.0,1.0,0.0,14.0,76.0,0.0,0.0,0.0,0.0,268.0,0.0,15.0,Matches,8.0,0.9,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,7.0,12.0,4.0,0.0,11.0,15.0,73.3,4.0,6.0,0.0,6.0,7.0,23.0,28.0,0.0,Matches,430.0,34.0,130.0,193.0,107.0,4.0,430.0,7.0,3.0,42.9,4.0,57.1,242.0,1402.0,609.0,12.0,10.0,0.0,11.0,7.0,232.0,21.0,Matches,Defender,Right-Back
1220,Kelvin Yeboah,it ITA,FW,Montpellier,fr Ligue 1,23.0,2000.0,3.1,0.0,6.0,3.0,50.0,1.96,0.98,0.0,0.0,15.3,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,Matches,58.0,79.0,73.4,762.0,190.0,35.0,40.0,87.5,18.0,26.0,69.2,1.0,4.0,25.0,0.0,0.3,0.1,-0.3,5.0,3.0,0.0,0.0,5.0,Matches,79.0,77.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,1.0,Matches,9.0,2.93,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,2.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,3.0,2.0,1.0,1.0,5.0,3.0,0.0,Matches,126.0,7.0,23.0,43.0,61.0,18.0,126.0,14.0,8.0,57.1,4.0,28.6,89.0,615.0,280.0,9.0,6.0,6.0,13.0,6.0,85.0,25.0,Matches,Attack,Centre-Forward
1223,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31.0,1991.0,33.0,2.0,14.0,7.0,50.0,0.42,0.21,0.14,0.29,26.3,4.0,0.0,0.0,0.5,0.5,0.03,1.5,1.5,Matches,1713.0,2195.0,78.0,35548.0,12428.0,600.0,693.0,86.6,773.0,938.0,82.4,321.0,488.0,65.8,3.0,3.3,4.3,-0.3,35.0,164.0,45.0,19.0,200.0,Matches,2195.0,1784.0,404.0,85.0,0.0,20.0,143.0,310.0,9.0,3.0,6.0,0.0,1713.0,7.0,62.0,Matches,98.0,2.97,74.0,18.0,2.0,3.0,1.0,0.0,9.0,0.27,7.0,2.0,0.0,0.0,0.0,0.0,Matches,78.0,51.0,39.0,28.0,11.0,30.0,56.0,53.6,26.0,27.0,6.0,21.0,28.0,106.0,75.0,1.0,Matches,2471.0,130.0,687.0,1276.0,545.0,14.0,2471.0,38.0,19.0,50.0,18.0,47.4,1617.0,9146.0,3750.0,45.0,51.0,3.0,21.0,12.0,1461.0,98.0,Matches,Defender,Right-Back
1224,Kenny Tete,nl NED,DF,Fulham,eng Premier League,27.0,1995.0,9.6,1.0,4.0,1.0,25.0,0.42,0.1,0.25,1.0,7.9,0.0,0.0,0.0,0.9,0.9,0.21,0.1,0.1,Matches,418.0,523.0,79.9,6413.0,2614.0,236.0,269.0,87.7,146.0,181.0,80.7,27.0,44.0,61.4,0.0,0.4,0.5,-0.4,3.0,45.0,10.0,7.0,54.0,Matches,523.0,438.0,84.0,7.0,1.0,0.0,23.0,77.0,0.0,0.0,0.0,0.0,418.0,1.0,13.0,Matches,15.0,1.56,11.0,0.0,2.0,1.0,1.0,0.0,2.0,0.21,1.0,0.0,0.0,0.0,1.0,0.0,Matches,27.0,17.0,19.0,6.0,2.0,11.0,19.0,57.9,8.0,10.0,3.0,7.0,16.0,43.0,35.0,0.0,Matches,647.0,40.0,215.0,278.0,161.0,11.0,647.0,20.0,9.0,45.0,10.0,50.0,303.0,1400.0,650.0,20.0,15.0,2.0,10.0,3.0,366.0,38.0,Matches,Defender,Right-Back
1225,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,26.0,1997.0,24.3,5.0,27.0,12.0,44.4,1.11,0.49,0.19,0.42,12.9,0.0,0.0,0.0,2.0,2.0,0.08,3.0,3.0,Matches,802.0,1027.0,78.1,15211.0,6371.0,282.0,344.0,82.0,434.0,503.0,86.3,78.0,140.0,55.7,1.0,0.6,1.1,0.4,10.0,53.0,5.0,1.0,93.0,Matches,1027.0,970.0,51.0,18.0,0.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,802.0,6.0,5.0,Matches,27.0,1.11,15.0,0.0,1.0,6.0,4.0,1.0,3.0,0.12,1.0,0.0,0.0,0.0,2.0,0.0,Matches,42.0,22.0,26.0,14.0,2.0,25.0,30.0,83.3,5.0,33.0,23.0,10.0,33.0,75.0,104.0,2.0,Matches,1329.0,200.0,655.0,573.0,108.0,66.0,1329.0,8.0,6.0,75.0,2.0,25.0,580.0,2496.0,1414.0,9.0,4.0,2.0,12.0,0.0,635.0,15.0,Matches,Defender,Centre-Back
1226,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28.0,1995.0,12.2,0.0,2.0,0.0,0.0,0.16,0.0,0.0,,6.8,0.0,0.0,0.0,0.3,0.3,0.15,-0.3,-0.3,Matches,611.0,711.0,85.9,10584.0,3879.0,275.0,302.0,91.1,277.0,307.0,90.2,50.0,79.0,63.3,0.0,0.3,0.4,-0.3,5.0,71.0,2.0,0.0,55.0,Matches,711.0,680.0,30.0,17.0,0.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,611.0,1.0,6.0,Matches,16.0,1.31,13.0,0.0,2.0,0.0,1.0,0.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,Matches,35.0,18.0,22.0,12.0,1.0,26.0,35.0,74.3,9.0,28.0,8.0,20.0,18.0,53.0,32.0,0.0,Matches,861.0,72.0,360.0,449.0,59.0,5.0,861.0,13.0,9.0,69.2,4.0,30.8,483.0,2251.0,1054.0,10.0,11.0,2.0,10.0,1.0,564.0,9.0,Matches,Defender,Centre-Back
1227,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32.0,1991.0,14.0,4.0,41.0,13.0,31.7,2.92,0.93,0.1,0.31,10.8,0.0,0.0,0.0,6.0,6.0,0.15,-2.0,-2.0,Matches,215.0,336.0,64.0,3380.0,842.0,116.0,162.0,71.6,67.0,97.0,69.1,22.0,34.0,64.7,0.0,0.9,1.2,-0.9,16.0,24.0,7.0,0.0,45.0,Matches,336.0,323.0,11.0,0.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,215.0,2.0,15.0,Matches,35.0,2.5,25.0,0.0,0.0,2.0,7.0,1.0,2.0,0.14,1.0,0.0,0.0,0.0,1.0,0.0,Matches,13.0,10.0,3.0,7.0,3.0,1.0,4.0,25.0,3.0,7.0,2.0,5.0,6.0,19.0,19.0,0.0,Matches,499.0,21.0,43.0,226.0,235.0,69.0,499.0,7.0,4.0,57.1,3.0,42.9,244.0,985.0,342.0,11.0,13.0,4.0,39.0,12.0,372.0,93.0,Matches,Attack,Centre-Forward
1228,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,32.0,1991.0,6.8,1.0,11.0,6.0,54.5,1.61,0.88,0.09,0.17,11.6,0.0,0.0,0.0,1.6,1.6,0.15,-0.6,-0.6,Matches,112.0,175.0,64.0,1539.0,251.0,63.0,93.0,67.7,36.0,48.0,75.0,3.0,9.0,33.3,1.0,0.9,0.9,0.1,8.0,9.0,8.0,1.0,17.0,Matches,175.0,171.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,4.0,Matches,18.0,2.63,15.0,0.0,1.0,2.0,0.0,0.0,2.0,0.29,2.0,0.0,0.0,0.0,0.0,0.0,Matches,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,9.0,0.0,9.0,3.0,5.0,6.0,0.0,Matches,239.0,5.0,12.0,97.0,132.0,30.0,239.0,8.0,3.0,37.5,5.0,62.5,110.0,391.0,143.0,7.0,3.0,3.0,15.0,10.0,175.0,41.0,Matches,Attack,Centre-Forward
